name,city,wiki,birth_date
Berecz Zsombor,Miskolc,https://hu.wikipedia.org/wiki/Miskolc,1995.12.13
Berendi Pál,Budapest,https://hu.wikipedia.org/wiki/Budapest,1932.11.30
Berkessy Elemér,Nagyvárad,https://hu.wikipedia.org/wiki/Nagyvárad,1905.06.20
Bese Barnabás,Budapest,https://hu.wikipedia.org/wiki/Budapest,1994.05.06
Bicskei Bertalan,Budapest,https://hu.wikipedia.org/wiki/Budapest,1944.09.17
Bienenstock Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1884.06.17
Bihámi Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1909.10.23
Bihari Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1889.11.30
Biri János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.07.21
Bíró Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.04.25
Bíró Sándor,Füzesabony,https://hu.wikipedia.org/wiki/Füzesabony,1911.08.19
Blazsek Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1884.09.20
Blum Zoltán,Pápa,https://hu.wikipedia.org/wiki/Pápa,1892.01.03
Bobrik Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1900.06.13
Boda Imre,Szolnok,https://hu.wikipedia.org/wiki/Szolnok,1961.10.10
Böde Dániel,Szekszárd,https://hu.wikipedia.org/wiki/Szekszárd,1986.10.24
Bódi Ádám,Nyíregyháza,https://hu.wikipedia.org/wiki/Nyíregyháza,1990.10.18
Bodnár László,Bánszállás,https://hu.wikipedia.org/wiki/Bánszállás,1959.03.05
Bodnár László,Mátészalka,https://hu.wikipedia.org/wiki/Mátészalka,1979.02.25
Bodnár Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.09.20
Bódog Tamás,Dunaújváros,https://hu.wikipedia.org/wiki/Dunaújváros,1970.09.27
Bodola Gyula,Brassó,https://hu.wikipedia.org/wiki/Brassó,1912.02.26
Bodon Tibor,Salgótarján,https://hu.wikipedia.org/wiki/Salgótarján,1931.07.18
Bodonyi Béla,Jászdózsa,https://hu.wikipedia.org/wiki/Jászdózsa,1956.12.14
Bodor Boldizsár,Pécs,https://hu.wikipedia.org/wiki/Pécs,1982.04.27
Bödör László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1933.08.17
Bodor Ödön,Kapuvár,https://hu.wikipedia.org/wiki/Kapuvár,1882.10.24
Bogdán Ádám,Budapest,https://hu.wikipedia.org/wiki/Budapest,1987.09.27
Bognár György,Baja,https://hu.wikipedia.org/wiki/Baja,1961.11.05
Bognár Zoltán,Körmend,https://hu.wikipedia.org/wiki/Körmend,1965.06.25
Böjte Attila,Győr,https://hu.wikipedia.org/wiki/Győr,1976.09.02
Böjti János,Keszthely,https://hu.wikipedia.org/wiki/Keszthely,1891.05.01
Boldizsár Géza,Budafok,https://hu.wikipedia.org/wiki/Budafok,1919.06.01
Bolla Bendegúz,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1999.11.22
Böőr Zoltán,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1978.08.14
Borbás Gáspár dr.,Budapest,https://hu.wikipedia.org/wiki/Budapest,1884.07.26
Bordás Csaba,Sopron,https://hu.wikipedia.org/wiki/Sopron,1968.03.21
Bori Gábor,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1984.01.16
Borisz Győző,Budapest,https://hu.wikipedia.org/wiki/Budapest,1895.12.14
Borostyán Mihály,Sajószentpéter,https://hu.wikipedia.org/wiki/Sajószentpéter,1956.09.17
Borsányi Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.12.03
Borsányi György,Újpest,https://hu.wikipedia.org/wiki/Újpest,1933.02.04
Borsó János,Pécs,https://hu.wikipedia.org/wiki/Pécs,1953.04.18
Börzsei János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1921.10.09
Bošnjak Predrag,Szabadka,https://hu.wikipedia.org/wiki/Szabadka,1985.11.13
Bosnyákovits Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1887.05.27
Botka Endre,Budapest,https://hu.wikipedia.org/wiki/Budapest,1994.08.25
Bozsik József,Kispest,https://hu.wikipedia.org/wiki/Kispest,1925.11.28
Branikovits László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1949.12.18
Braun Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1885.01.02
Braun József,Putnok,https://hu.wikipedia.org/wiki/Putnok,1901.02.26
Brockhauser István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1964.05.03
Bródy Sándor,Székelyfalva,https://hu.wikipedia.org/wiki/Székelyfalva,1884.05.16
Bücs Zsolt,Mátészalka,https://hu.wikipedia.org/wiki/Mátészalka,1963.09.08
Buda István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1884.02.03
Budai László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1928.07.19
Budavári László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1953.08.03
Bukovi Márton,Budapest,https://hu.wikipedia.org/wiki/Budapest,1903.12.01
Bukrán Gábor,Eger,https://hu.wikipedia.org/wiki/Eger,1975.11.16
Bükszegi Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1975.12.16
Bundzsák Dezső,Kiskunhalas,https://hu.wikipedia.org/wiki/Kiskunhalas,1928.05.03
Burcsa Győző,Kaposvár,https://hu.wikipedia.org/wiki/Kaposvár,1954.03.13
Buza Lajos,Újpest,https://hu.wikipedia.org/wiki/Újpest,1901.06.26
Buzánszky Jenő,Újdombóvár,https://hu.wikipedia.org/wiki/Újdombóvár,1925.05.04
Buzsáky Ákos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1982.05.07
Csábi József,Szolnok,https://hu.wikipedia.org/wiki/Szolnok,1967.02.14
Csapó Károly,Agyagosszergény,https://hu.wikipedia.org/wiki/Agyagosszergény,1952.02.23
Cseh András,Nagyszénás,https://hu.wikipedia.org/wiki/Nagyszénás,1964.01.15
Cseh László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1910.04.04
Csehi Tibor,Kalocsa,https://hu.wikipedia.org/wiki/Kalocsa,1963.03.27
Cseri Tamás,Győr,https://hu.wikipedia.org/wiki/Győr,1988.01.15
Csernai Pál,Pilis,https://hu.wikipedia.org/wiki/Pilis,1932.10.21
Csertői Aurél,Győr,https://hu.wikipedia.org/wiki/Győr,1965.09.25
Csík Ferenc,Veszprém,https://hu.wikipedia.org/wiki/Veszprém,1962.06.06
Csikós Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1913.04.15
Csizmadia Csaba,Marosvásárhely,https://hu.wikipedia.org/wiki/Marosvásárhely,1985.05.30
Csoboth Kevin,Pécs,https://hu.wikipedia.org/wiki/Pécs,2000.06.20
Csongrádi Ferenc,Apácatorna,https://hu.wikipedia.org/wiki/Apácatorna,1956.03.29
Csonka Gyula,Győr,https://hu.wikipedia.org/wiki/Győr,1958.05.12
Csontos Kálmán,Récse,https://hu.wikipedia.org/wiki/Récse,1899.02.24
Csordás Lajos,Budafok,https://hu.wikipedia.org/wiki/Budafok,1932.10.26
Csucsánszky Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1965.10.17
Csüdör Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1887.02.10
Csuhay József,Eger,https://hu.wikipedia.org/wiki/Eger,1957.07.12
Czeczeli Károly,Barcs,https://hu.wikipedia.org/wiki/Barcs,1951.12.04
Czéh László,Kecskemét,https://hu.wikipedia.org/wiki/Kecskemét,1968.02.01
Czibor Zoltán,Kaposvár,https://hu.wikipedia.org/wiki/Kaposvár,1929.08.23
Czvitkovics Péter,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1983.02.10
